"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Connor McDavid",EDM,"1","1","1.0","0.0","0"
"2","Nathan MacKinnon",COL,"2","3","2.2","0.4","0"
"3","Leon Draisaitl",EDM,"2","3","2.8","0.4","0"
"4","Auston Matthews",TOR,"4","4","4.0","0.0","0"
"5","William Nylander",TOR,"5","7","5.8","0.8","+25"
"6","Jack Eichel",VGK,"5","7","6.2","0.8","-1"
"7","Jack Hughes",NJ,"5","10","6.6","1.9","-1"
"8","Brayden Point",TB,"7","10","8.4","1.0","-1"
"9","Sam Reinhart",FLA,"8","10","8.8","0.8","+22"
"10","Sidney Crosby",PIT,"8","12","10.0","1.4","-2"
"11","Macklin Celebrini",SJ,"9","17","12.2","2.6","-2"
"12","Tim Stutzle",OTT,"12","16","14.0","1.4","-1"
"13","Sebastian Aho",CAR,"13","18","14.2","1.9","+8"
"14","Nick Suzuki",MTL,"11","19","15.0","3.2","0"
"15","Mark Scheifele",WPG,"13","20","15.8","2.5","-2"
"16","Martin Necas",COL,"11","21","16.4","3.3","-"
"17","Dylan Larkin",DET,"14","20","17.2","2.5","+5"
"18","Robert Thomas",STL,"10","24","17.4","5.0","+5"
"19","John Tavares",TOR,"15","24","19.4","3.1","-3"
"20","Connor Bedard",CHI,"16","22","19.4","2.5","-5"
"21","Wyatt Johnston",DAL,"16","25","21.8","3.3","-4"
"22","Nico Hischier",NJ,"19","27","22.0","3.0","+3"
"23","Jordan Kyrou",STL,"21","27","24.4","2.1","-"
"24","Seth Jarvis",CAR,"19","32","24.8","4.3","+18"
"25","Nazem Kadri",CGY,"24","31","26.4","2.6","-1"
"26","Dylan Strome",WSH,"22","33","26.8","3.8","+7"
"27","Zach Hyman",EDM,"23","33","27.2","3.8","-"
"28","Drake Batherson",OTT,"26","33","29.6","2.4","-"
"29","Vincent Trocheck",NYR,"27","36","30.8","3.1","-3"
"30","Joel Eriksson Ek",MIN,"31","35","32.4","1.7","+5"
"31","Logan Cooley",UTA,"30","40","33.0","3.7","+9"
"32","Sam Bennett",FLA,"28","46","34.0","6.5","+4"
"33","Matt Duchene",DAL,"27","42","36.2","5.0","+4"
"34","Bo Horvat",NYI,"30","44","36.8","4.6","-5"
"35","Tomas Hertl",VGK,"28","51","38.6","8.0","-3"
"36","Adam Fantilli",CBJ,"29","47","39.2","6.2","+2"
"37","Gabriel Vilardi",WPG,"35","47","40.0","4.1","+2"
"38","Mathew Barzal",NYI,"37","47","40.4","3.5","+7"
"39","Mika Zibanejad",NYR,"26","63","40.8","12.2","-5"
"40","Elias Pettersson",VAN,"28","67","41.8","13.4","-22"
"41","Ryan Nugent-Hopkins",EDM,"34","46","42.4","4.6","+7"
"42","Quinton Byfield",LA,"32","55","43.4","9.1","+4"
"43","Steven Stamkos",NSH,"37","50","44.0","4.9","-24"
"44","Mason McTavish",ANA,"34","55","44.2","7.3","-3"
"45","Brock Nelson",COL,"44","48","45.2","1.5","-17"
"46","Jonathan Marchessault",NSH,"41","55","46.0","4.9","-"
"47","Aleksander Barkov Jr.",FLA,"11","80","32.0","27.9","-27"
"48","Sean Monahan",CBJ,"39","55","47.4","6.8","+19"
"49","Tyler Toffoli",SJ,"43","56","49.8","5.0","-"
"50","Jared McCann",SEA,"38","62","50.0","7.8","+13"
"51","Pierre-Luc Dubois",WSH,"34","57","50.4","8.4","-1"
"52","Dylan Cozens",OTT,"46","57","50.8","4.1","+6"
"53","Anze Kopitar",LA,"41","62","52.0","7.8","-9"
"54","Will Smith",SJ,"47","67","52.8","7.3","0"
"55","William Eklund",SJ,"49","61","54.6","4.1","-"
"56","Aliaksei Protas",WSH,"42","67","55.2","10.6","+9"
"57","Gabriel Landeskog",COL,"50","60","56.2","3.7","-"
"58","Kent Johnson",CBJ,"52","67","60.2","6.4","+2"
"59","Nick Schmaltz",UTA,"52","82","61.6","10.5","-"
"60","Cole Perfetti",WPG,"51","72","62.6","7.5","+2"
"61","Leo Carlsson",ANA,"50","78","64.0","9.3","-"
"62","Connor McMichael",WSH,"56","72","64.0","6.8","-"
"63","Boone Jenner",CBJ,"50","83","64.2","11.4","+1"
"64","Evgeni Malkin",PIT,"56","73","65.0","6.6","-12"
"65","Tyler Seguin",DAL,"36","83","65.2","16.9","-"
"66","Joshua Norris",BUF,"60","76","65.4","6.0","-"
"67","Marco Rossi",MIN,"58","74","65.8","5.8","-20"
"68","Elias Lindholm",BOS,"59","77","67.0","6.1","-"
"69","Brayden Schenn",STL,"64","77","70.2","4.8","-8"
"70","Trevor Zegras",PHI,"65","78","70.4","4.3","-19"
"71","Matty Beniers",SEA,"62","77","71.2","5.3","-"
"72","Claude Giroux",OTT,"64","82","72.2","7.3","-"
"73","Ivan Barbashev",VGK,"61","83","73.8","7.5","-"
"74","Ryan O'Reilly",NSH,"66","82","73.8","6.3","-25"
"75","Michael Misa",SJ,"53","85","67.3","13.7","-"
"76","Jamie Benn",DAL,"60","92","74.6","10.2","-"
"77","Anthony Cirelli",TB,"57","81","69.0","8.9","-22"
"78","Kiefer Sherwood",VAN,"63","84","70.3","8.1","-"
"79","William Karlsson",VGK,"72","87","77.2","5.2","-"
"80","Zachary Bolduc",MTL,"68","95","78.4","9.6","-"
"81","Pavel Zacha",BOS,"73","86","79.4","4.9","-"
"82","Anton Lundell",FLA,"74","84","80.2","3.7","-"
"83","Marco Kasper",DET,"51","80","66.7","11.9","-40"
"84","Phillip Danault",LA,"75","92","83.4","5.6","-"
"85","Barrett Hayton",UTA,"78","92","86.2","4.7","-28"
"86","Ryan Leonard",WSH,"78","85","82.3","3.0","-"
"87","Mikael Backlund",CGY,"83","93","87.4","3.7","-"
"88","Yegor Sharangovich",CGY,"82","91","87.6","3.1","-"
"89","Alex Killorn",ANA,"77","101","88.2","7.7","-"
"90","Casey Mittelstadt",BOS,"85","91","89.0","2.3","-"
"91","Charlie Coyle",CBJ,"73","103","89.8","9.7","-"
"92","Jeff Skinner",SJ,"74","93","86.5","7.4","-"
"93","Shane Wright",SEA,"79","89","82.3","4.7","-"
"94","Max Domi",TOR,"85","99","92.0","5.1","-"
"95","Chandler Stephenson",SEA,"87","98","92.6","3.7","-"
"96","Nick Paul",TB,"87","96","93.0","4.2","-"
"97","Mackie Samoskevich",FLA,"80","97","88.5","8.5","-"
"98","Eetu Luostarinen",FLA,"81","102","91.5","10.5","-"
"99","Adam Henrique",EDM,"93","101","95.7","3.8","-"
"100","Scott Laughton",TOR,"94","99","95.7","2.4","-"
"101","Trent Frederic",EDM,"95","102","97.3","3.3","-"
"102","Dakota Joshua",TOR,"94","96","95.0","1.0","-"
"103","Sean Couturier",PHI,"89","89","89.0","0.0","-"
"104","Bobby McMann",TOR,"90","90","90.0","0.0","-"
"105","Nick Bjugstad",STL,"97","97","97.0","0.0","-"
"106","Anton Frondell",CHI,"93","93","93.0","0.0","-"
"107","Tyson Foerster",PHI,"94","94","94.0","0.0","-"
"108","Matt Savoie",EDM,"95","95","95.0","0.0","-"
"109","Connor Zary",CGY,"97","97","97.0","0.0","-"
"110","Logan Couture",FA,"98","98","98.0","0.0","-"
"111","Rutger McGroarty",PIT,"98","98","98.0","0.0","-"
"112","Mavrik Bourque",DAL,"100","100","100.0","0.0","-"
"113","Calum Ritchie",NYI,"100","100","100.0","0.0","-"
"114","James Hagens",BOS,"103","103","103.0","0.0","-"
