"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Cale Makar",COL,"1","1","1.0","0.0","-"
"2","Quinn Hughes",VAN,"2","2","2.0","0.0","-"
"3","Zach Werenski",CBJ,"3","3","3.0","0.0","-"
"4","Evan Bouchard",EDM,"4","4","4.0","0.0","-"
"5","Rasmus Dahlin",BUF,"5","6","5.2","0.4","-"
"6","Victor Hedman",TB,"5","7","6.4","0.8","-"
"7","Roman Josi",NSH,"6","12","8.2","2.4","-"
"8","Adam Fox",NYR,"6","11","9.2","1.7","-"
"9","Lane Hutson",MTL,"7","15","9.6","2.8","-"
"10","Josh Morrissey",WPG,"8","18","10.4","3.9","-"
"11","MacKenzie Weegar",CGY,"9","13","12.0","1.6","-"
"12","Jakob Chychrun",WSH,"8","20","13.4","4.0","-"
"13","Jake Sanderson",OTT,"11","18","14.0","2.7","-"
"14","Shea Theodore",VGK,"10","21","14.8","4.3","-"
"15","Dougie Hamilton",NJ,"13","19","15.6","2.1","-"
"16","Noah Dobson",MTL,"12","21","15.8","3.0","-"
"17","Thomas Harley",DAL,"13","20","16.4","2.4","-"
"18","Miro Heiskanen",DAL,"17","19","17.8","0.8","-"
"19","Moritz Seider",DET,"9","27","18.2","5.7","-"
"20","Mikhail Sergachev",UTA,"17","22","19.8","1.6","-"
"21","Brandon Montour",SEA,"14","30","20.6","5.6","-"
"22","John Carlson",WSH,"22","29","24.4","2.4","-"
"23","Luke Hughes",NJ,"22","28","24.8","1.9","-"
"24","Vince Dunn",SEA,"21","29","25.2","3.2","-"
"25","Charlie McAvoy",BOS,"23","30","25.2","2.6","-"
"26","Seth Jones",FLA,"24","30","27.0","2.0","-"
"27","Aaron Ekblad",FLA,"16","35","28.0","6.8","-"
"28","Erik Karlsson",PIT,"21","39","28.6","6.1","-"
"29","Shayne Gostisbehere",CAR,"25","35","30.0","4.0","-"
"30","Drew Doughty",LA,"25","38","32.2","4.7","-"
"31","Morgan Rielly",TOR,"29","40","34.8","3.9","-"
"32","Gustav Forsling",FLA,"30","40","35.0","3.2","-"
"33","Jackson LaCombe",ANA,"23","28","25.3","2.3","-"
"34","Devon Toews",COL,"31","44","35.6","5.1","-"
"35","Neal Pionk",WPG,"29","47","37.6","5.8","-"
"36","Zayne Parekh",CGY,"26","52","38.4","8.7","-"
"37","Noah Hanifin",VGK,"33","50","38.8","5.9","-"
"38","Alexander Nikishin",CAR,"32","47","39.2","6.2","-"
"39","Thomas Chabot",OTT,"32","49","39.4","5.6","-"
"40","Brock Faber",MIN,"36","45","40.6","3.8","-"
"41","Kris Letang",PIT,"31","51","43.6","7.1","-"
"42","Darnell Nurse",EDM,"31","54","43.8","7.4","-41"
"43","Cam Fowler",STL,"33","65","44.6","10.8","-"
"44","Mattias Ekholm",EDM,"36","53","45.0","5.8","-"
"45","Colton Parayko",STL,"31","58","45.6","9.0","-"
"46","Elias Pettersson",VAN,"11","39","27.7","12.0","-"
"47","Rasmus Andersson",CGY,"43","53","47.2","3.5","-"
"48","Brent Burns",COL,"41","55","47.4","4.8","-"
"49","Zeev Buium",MIN,"34","51","42.5","6.1","-"
"50","Justin Faulk",STL,"47","54","50.0","2.5","-"
"51","Mike Matheson",MTL,"42","62","50.4","7.3","-"
"52","Filip Hronek",VAN,"46","54","50.6","3.1","-"
"53","Jake Walman",EDM,"37","52","46.8","5.9","-"
"54","K'Andre Miller",CAR,"45","63","56.4","6.4","-"
"55","Sean Durzi",UTA,"54","61","56.8","2.3","-"
"56","Brady Skjei",NSH,"46","68","57.0","8.3","-"
"57","Jacob Trouba",ANA,"51","65","57.8","4.5","-"
"58","Sam Rinzel",CHI,"42","54","46.7","5.3","-"
"59","Dmitry Orlov",SJ,"57","66","60.8","2.9","-"
"60","Travis Sanheim",PHI,"52","69","61.4","6.8","-"
"61","Anthony DeAngelo",NYI,"39","70","56.0","12.8","-"
"62","Jaccob Slavin",CAR,"60","69","63.6","3.0","-"
"63","Owen Power",BUF,"56","60","58.0","1.6","-"
"64","Matthew Schaefer",NYI,"49","53","51.0","2.0","-"
"65","Ben Chiarot",DET,"61","70","64.5","3.4","-"
"66","Alex Pietrangelo",VGK,"43","73","64.8","12.6","-"
"67","Sam Dickinson",SJ,"55","67","61.3","4.9","-"
"68","Radko Gudas",ANA,"55","72","61.7","7.4","-"
"69","Brayden McNabb",VGK,"59","67","62.7","3.3","-"
"70","Adam Larsson",SEA,"56","74","63.0","7.9","-"
"71","Matt Roy",WSH,"58","61","59.5","1.5","-"
"72","Alexander Romanov",NYI,"64","66","65.0","0.8","-"
"73","Hampus Lindholm",BOS,"64","68","66.3","1.7","-"
"74","Bowen Byram",BUF,"50","50","50.0","0.0","-"
"75","Ivan Provorov",CBJ,"63","65","64.0","1.0","-"
"76","John Klingberg",SJ,"57","57","57.0","0.0","-"
"77","Jeremy Lauzon",VGK,"66","67","66.5","0.5","-"
"78","Brandt Clarke",LA,"59","59","59.0","0.0","-"
"79","Darren Raddysh",TB,"60","60","60.0","0.0","-"
"80","Mason Lohrei",BOS,"61","61","61.0","0.0","-"
"81","Jake McCabe",TOR,"68","69","68.5","0.5","-"
"82","Damon Severson",CBJ,"66","72","69.0","3.0","-"
"83","Ryan Pulock",NYI,"69","70","69.5","0.5","-"
"84","Jeff Petry",FLA,"70","71","70.5","0.5","-"
"85","Torey Krug",STL,"71","71","71.0","0.0","-"
"86","Kaiden Guhle",MTL,"71","71","71.0","0.0","-"
"87","Jani Hakanpaa",FA,"73","73","73.0","0.0","-"
"88","Martin Fehervary",WSH,"74","74","74.0","0.0","-"
"89","Cam York",PHI,"75","75","75.0","0.0","-"
"90","Esa Lindell",DAL,"76","76","76.0","0.0","-"
"91","Luke Schenn",WPG,"77","77","77.0","0.0","-"
