"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Connor Hellebuyck",WPG,"1","1","1.0","0.0","0"
"2","Andrei Vasilevskiy",TB,"2","2","2.0","0.0","0"
"3","Jake Oettinger",DAL,"3","3","3.0","0.0","0"
"4","Igor Shesterkin",NYR,"4","6","4.6","0.8","0"
"5","Mackenzie Blackwood",COL,"4","7","5.2","1.2","+2"
"6","Sergei Bobrovsky",FLA,"5","10","6.4","1.9","-1"
"7","Filip Gustavsson",MIN,"5","15","8.4","3.4","-1"
"8","Dustin Wolf",CGY,"6","12","8.6","2.1","0"
"9","Darcy Kuemper",LA,"7","11","9.4","1.4","0"
"10","Adin Hill",VGK,"8","12","9.6","1.6","+1"
"11","Ilya Sorokin",NYI,"8","11","9.6","1.2","-1"
"12","Jacob Markstrom",NJ,"11","16","13.2","1.7","+4"
"13","Logan Thompson",WSH,"10","20","14.0","3.3","0"
"14","Juuse Saros",NSH,"9","19","14.2","3.5","+1"
"15","Linus Ullmark",OTT,"14","21","16.2","2.5","+2"
"16","Anthony Stolarz",TOR,"12","23","16.6","3.6","-4"
"17","Jordan Binnington",STL,"12","20","17.2","3.0","-3"
"18","Jeremy Swayman",BOS,"14","23","18.6","3.0","+3"
"19","Sam Montembeault",MTL,"17","24","20.4","3.0","-1"
"20","Pyotr Kochetkov",CAR,"18","25","20.4","2.6","+5"
"21","Thatcher Demko",VAN,"15","24","20.6","3.3","-1"
"22","Stuart Skinner",EDM,"16","29","23.0","5.0","+1"
"23","Karel Vejmelka",UTA,"21","27","23.2","2.1","+6"
"24","Lukas Dostal",ANA,"21","26","24.4","1.9","-2"
"25","Frederik Andersen",CAR,"18","35","24.6","6.0","-1"
"26","Joey Daccord",SEA,"17","32","24.8","4.8","-7"
"27","Ukko-Pekka Luukkonen",BUF,"14","33","26.2","6.5","+6"
"28","Jet Greaves",CBJ,"27","31","28.4","1.4","+3"
"29","John Gibson",DET,"28","31","29.6","1.0","-2"
"30","Yaroslav Askarov",SJ,"26","39","30.4","4.6","+7"
"31","Joseph Woll",TOR,"23","45","31.6","7.5","-5"
"32","Spencer Knight",CHI,"22","38","30.5","5.7","+3"
"33","Calvin Pickard",EDM,"30","35","33.0","1.9","-"
"34","Tristan Jarry",PIT,"32","34","33.0","1.0","-4"
"35","Charlie Lindgren",WSH,"32","41","35.8","3.3","-7"
"36","Cameron Talbot",DET,"31","37","34.7","2.6","-"
"37","Alexandar Georgiev",BUF,"33","34","33.5","0.5","-"
"38","Scott Wedgewood",COL,"26","26","26.0","0.0","0"
"39","Daniel Vladar",PHI,"36","36","36.0","0.0","-"
"40","Joel Hofer",STL,"31","31","31.0","0.0","-"
"41","Samuel Ersson",PHI,"33","43","38.0","5.0","-"
"42","Semyon Varlamov",NYI,"39","40","39.5","0.5","-"
"43","Leevi Merilainen",OTT,"37","44","40.5","3.5","-"
"44","Ilya Samsonov",FA,"37","37","37.0","0.0","-"
"45","Connor Ingram",UTA,"38","42","40.0","2.0","-"
"46","Kevin Lankinen",VAN,"38","38","38.0","0.0","-12"
"47","Joonas Korpisalo",BOS,"39","39","39.0","0.0","-"
"48","Elvis Merzlikins",CBJ,"40","40","40.0","0.0","-16"
"49","Akira Schmid",VGK,"41","41","41.0","0.0","-"
"50","Vitek Vanecek",FA,"42","42","42.0","0.0","-"
