"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Leon Draisaitl",EDM,"1","1","1.0","0.0","-"
"2","Kirill Kaprizov",MIN,"2","2","2.0","0.0","+13"
"3","Brady Tkachuk",OTT,"3","4","3.4","0.5","+11"
"4","Kyle Connor",WPG,"3","4","3.6","0.5","+13"
"5","Artemi Panarin",NYR,"5","5","5.0","0.0","+11"
"6","Jake Guentzel",TB,"6","8","6.8","0.8","+13"
"7","Filip Forsberg",NSH,"6","8","7.0","0.9","+6"
"8","Jason Robertson",DAL,"6","14","8.6","2.9","-7"
"9","Matt Boldy",MIN,"8","10","9.0","0.9","-6"
"10","Clayton Keller",UTA,"9","12","10.8","1.2","-6"
"11","Alex Ovechkin",WSH,"9","14","11.0","1.8","-9"
"12","J.T. Miller",NYR,"11","16","12.2","1.9","+8"
"13","Adrian Kempe",LA,"9","14","12.6","1.9","+12"
"14","Tim Stutzle",OTT,"11","15","13.2","1.3","-"
"15","Brandon Hagel",TB,"12","15","14.0","1.3","-10"
"16","Roope Hintz",DAL,"16","21","17.8","2.2","-"
"17","Lucas Raymond",DET,"15","21","18.0","2.0","-10"
"18","Alex DeBrincat",DET,"17","19","18.2","0.8","-12"
"19","Kevin Fiala",LA,"16","21","19.2","1.7","+5"
"20","Nikolaj Ehlers",CAR,"18","25","21.0","3.0","-11"
"21","Dylan Guenther",UTA,"17","29","21.8","4.0","+24"
"22","Kirill Marchenko",CBJ,"17","37","24.0","7.0","-14"
"23","Timo Meier",NJ,"22","29","24.4","3.0","-13"
"24","Matthew Knies",TOR,"21","30","25.2","3.1","+2"
"25","Bryan Rust",PIT,"23","31","26.6","2.7","+24"
"26","Andrei Svechnikov",CAR,"23","37","28.4","5.1","-15"
"27","JJ Peterka",UTA,"23","35","28.6","4.8","+16"
"28","Tomas Hertl",VGK,"24","35","29.2","4.3","-"
"29","Brad Marchand",FLA,"23","40","30.4","5.8","-2"
"30","Ryan Nugent-Hopkins",EDM,"27","35","31.8","2.6","-"
"31","Juraj Slafkovsky",MTL,"27","48","32.2","8.0","-19"
"32","Matthew Tkachuk",FLA,"17","64","32.6","16.3","-14"
"33","Brock Nelson",COL,"30","36","33.0","2.0","-"
"34","Dylan Holloway",STL,"26","41","33.2","5.3","-"
"35","Jonathan Marchessault",NSH,"29","41","33.8","4.1","+28"
"36","Rickard Rakell",PIT,"30","42","36.0","3.8","+18"
"37","Pavel Buchnevich",STL,"34","40","36.4","2.2","+24"
"38","Frank Vatrano",ANA,"31","52","37.0","7.8","-"
"39","Artturi Lehkonen",COL,"25","50","40.2","8.3","+9"
"40","Gabriel Landeskog",COL,"38","45","40.8","2.5","-3"
"41","Jonathan Huberdeau",CGY,"37","50","41.4","4.6","-8"
"42","Cutter Gauthier",ANA,"37","49","42.6","3.9","-13"
"43","Chris Kreider",ANA,"39","56","46.4","6.5","-15"
"44","Mikael Granlund",ANA,"38","69","46.6","11.4","-5"
"45","Evander Kane",VAN,"44","58","48.4","4.9","-11"
"46","Boone Jenner",CBJ,"39","66","49.2","9.3","-"
"47","Mason Marchment",SEA,"27","68","50.6","13.5","-16"
"48","Matt Coronato",CGY,"44","57","50.6","4.5","+18"
"49","Alexis Lafreniere",NYR,"39","66","51.0","10.2","+1"
"50","Anders Lee",NYI,"43","57","51.0","5.4","-20"
"51","Jake DeBrusk",VAN,"45","61","51.6","5.3","+19"
"52","Brayden Schenn",STL,"46","58","51.8","4.5","-"
"53","Claude Giroux",OTT,"46","64","54.4","7.7","-"
"54","Ryan Donato",CHI,"44","62","54.6","7.9","+17"
"55","Patrik Laine",MTL,"46","64","54.6","5.8","+14"
"56","Blake Coleman",CGY,"48","67","56.0","6.2","-"
"57","Ivan Barbashev",VGK,"51","66","56.8","5.7","-10"
"58","Jamie Benn",DAL,"45","78","57.2","11.1","-12"
"59","Dmitri Voronkov",CBJ,"39","61","52.0","9.1","-27"
"60","Andrei Kuzmenko",LA,"53","67","59.8","4.8","-1"
"61","Will Cuylle",NYR,"38","66","53.8","10.2","-38"
"62","Michael Bunting",NSH,"51","74","61.8","7.6","-"
"63","Jason Zucker",BUF,"47","76","63.0","10.0","-10"
"64","Trevor Moore",LA,"53","73","65.4","7.4","-"
"65","Jake Neighbours",STL,"59","77","65.8","6.3","-23"
"66","Teuvo Teravainen",CHI,"61","72","67.6","4.0","-"
