"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Nikita Kucherov",TB,"1","1","1.0","0.0","-"
"2","David Pastrnak",BOS,"2","2","2.0","0.0","-"
"3","Mikko Rantanen",DAL,"3","3","3.0","0.0","-"
"4","William Nylander",TOR,"4","5","4.2","0.4","-"
"5","Mitchell Marner",VGK,"4","6","5.0","0.6","-"
"6","Sam Reinhart",FLA,"5","7","6.0","0.6","-"
"7","Jake Guentzel",TB,"7","8","7.4","0.5","-"
"8","Tage Thompson",BUF,"6","11","8.0","1.7","-"
"9","Clayton Keller",UTA,"9","10","9.4","0.5","-"
"10","Jesper Bratt",NJ,"8","11","10.2","1.2","-"
"11","J.T. Miller",NYR,"9","13","10.2","1.5","-"
"12","Cole Caufield",MTL,"11","12","11.8","0.4","-"
"13","Travis Konecny",PHI,"14","16","14.6","0.8","-"
"14","Matvei Michkov",PHI,"12","17","14.8","1.9","-"
"15","Alex DeBrincat",DET,"13","16","14.8","1.0","-"
"16","Nikolaj Ehlers",CAR,"13","21","16.0","2.8","-"
"17","Tom Wilson",WSH,"14","21","17.6","2.2","-"
"18","Alex Tuch",BUF,"13","24","19.0","3.6","-"
"19","Timo Meier",NJ,"18","22","19.8","1.3","-"
"20","Andrei Svechnikov",CAR,"16","26","21.0","3.4","-"
"21","Valeri Nichushkin",COL,"17","26","21.4","3.8","-"
"22","Ivan Demidov",MTL,"17","27","21.6","3.7","-"
"23","Bryan Rust",PIT,"19","26","22.0","2.4","-"
"24","Pavel Dorofeyev",VGK,"20","28","23.2","2.9","-"
"25","Mark Stone",VGK,"23","25","24.0","0.6","-"
"26","Tyler Toffoli",SJ,"25","29","27.2","1.6","-"
"27","Patrick Kane",DET,"23","35","27.8","4.1","-"
"28","Brock Boeser",VAN,"23","33","28.8","3.3","-"
"29","Logan Stankoven",CAR,"25","34","29.6","3.0","-"
"30","Morgan Geekie",BOS,"28","35","31.2","2.3","-"
"31","Owen Tippett",PHI,"23","39","32.0","5.4","-30"
"32","Troy Terry",ANA,"28","36","32.4","2.6","-"
"33","Mikael Granlund",ANA,"27","45","33.2","6.3","-"
"34","Mats Zuccarello",MIN,"27","40","33.6","5.0","-"
"35","Elias Lindholm",BOS,"33","42","36.6","3.2","-"
"36","Jake DeBrusk",VAN,"31","46","36.8","5.0","-"
"37","Patrik Laine",MTL,"32","43","38.6","3.9","-"
"38","Claude Giroux",OTT,"33","45","39.2","4.9","-"
"39","Blake Coleman",CGY,"37","43","39.4","2.3","-"
"40","Oliver Bjorkstrand",TB,"38","47","42.2","4.0","-"
"41","Conor Garland",VAN,"37","51","43.6","4.7","-"
"42","Jackson Blake",CAR,"34","46","38.8","4.8","-"
"43","Jason Zucker",BUF,"34","56","44.6","7.6","-"
"44","Jimmy Snuggerud",STL,"38","44","42.0","2.4","-"
"45","Teuvo Teravainen",CHI,"42","52","47.0","3.6","-"
"46","Kyle Palmieri",NYI,"44","56","49.2","4.0","-"
"47","Gustav Nyquist",WPG,"39","59","49.8","6.7","-"
"48","Alex Laferriere",LA,"29","46","40.0","7.8","-"
"49","Frank Nazar",CHI,"40","48","42.7","3.8","-"
"50","Ryan Hartman",MIN,"45","58","51.6","4.5","-"
"51","Evan Rodrigues",FLA,"50","55","52.2","1.7","-"
"52","David Perron",OTT,"41","62","52.4","6.8","-"
"53","Shane Pinto",OTT,"37","61","52.8","8.4","-"
"54","Anthony Duclair",NYI,"41","63","53.0","7.5","-"
"55","Viktor Arvidsson",BOS,"46","60","53.0","5.7","-"
"56","Charlie Coyle",CBJ,"42","64","54.4","7.1","-"
"57","Vladimir Tarasenko",MIN,"48","66","55.4","6.2","-"
"58","Reilly Smith",VGK,"48","65","56.2","5.6","-"
"59","Danila Yurov",MIN,"44","59","52.3","6.2","-"
"60","Dawson Mercer",NJ,"54","60","57.4","2.1","-"
"61","Jordan Eberle",SEA,"52","60","57.0","3.1","-"
"62","Bobby Brink",PHI,"44","44","44.0","0.0","-"
"63","Martin Pospisil",CGY,"55","61","59.0","2.8","-"
"64","Simon Holmstrom",NYI,"48","48","48.0","0.0","-"
"65","Maxim Shabanov",NYI,"49","49","49.0","0.0","-"
"66","Kaapo Kakko",SEA,"50","67","58.5","8.5","-"
"67","Luke Evangelista",NSH,"51","51","51.0","0.0","-"
"68","Stefan Noesen",NJ,"53","53","53.0","0.0","-"
"69","Ville Koivunen",PIT,"60","60","60.0","0.0","-"
"70","Daniel Sprong",FA,"62","62","62.0","0.0","-"
"71","Blake Wheeler",FA,"63","63","63.0","0.0","-"
"72","Nino Niederreiter",WPG,"64","64","64.0","0.0","-"
