1. Connor Hellebuyck, G, WPG
2. Andrei Vasilevskiy, G, TBL
3. Jake Oettinger, G, DAL
4. Sergei Bobrovsky, G, FLA
5. Igor Shesterkin, G, NYR
6. Mackenzie Blackwood, G, COL (INJ.)
7. Logan Thompson, G, WSH
8. Filip Gustavsson, G, MIN
9. Darcy Kuemper, G, LAK
10. Ilya Sorokin, G, NYI
11. Anthony Stolarz, G, TOR
12. Adin Hill, G, VGK
13. Linus Ullmark, G, OTT
14. Jacob Markstrom, G, NJD
15. Dustin Wolf, G, CGY
16. Jordan Binnington, G, STL
17. Sam Montembeault, G, MTL
18. Frederik Andersen, G, CAR
19. Pyotr Kochetkov, G, CAR
20. Lukas Dostal, G, ANA
21. Thatcher Demko, G, VAN
22. Jeremy Swayman, G, BOS
23. Karel Vejmelka, G, UTA
24. Juuse Saros, G, NSH
25. Jet Greaves, G, CBJ
