1. Nathan MacKinnon, F, COL
2. Connor McDavid, F, EDM
3. Leon Draisaitl, F, EDM
4. Nikita Kucherov, F, TBL
5. Cale Makar, D, COL
6. Kirill Kaprizov, F, MIN
7. Brady Tkachuk, F, OTT
8. David Pastrnak, F, BOS
9. Mikko Rantanen, F, DAL
10. Connor Hellebuyck, G, WPG
11. Jack Eichel, F, VGK
12. Auston Matthews, F, TOR
13. Andrei Vasilevskiy, G, TBL
14. Quinn Hughes, D, VAN
15. Kyle Connor, F, WPG
16. Sidney Crosby, F, PIT
17. Zach Werenski, D, CBJ
18. Sam Reinhart, F, FLA
19. William Nylander, F, TOR
20. Jack Hughes, F, NJD
21. Jake Oettinger, G, DAL
22. Mitch Marner, F, VGK
23. Brayden Point, F, TBL
24. Alex Ovechkin, F, WSH
25. Nick Suzuki, F, MTL
26. Artemi Panarin, F, NYR
27. Filip Forsberg, F, NSH
28. Jake Guentzel, F, TBL
29. Clayton Keller, F, UTA
30. Martin Necas, F, COL
31. Mark Scheifele, F, WPG
32. Tage Thompson, F, BUF
33. Macklin Celebrini, F, SJS
34. Matt Boldy, F, MIN
35. Victor Hedman, D, TBL
36. Evan Bouchard, D, EDM
37. Sergei Bobrovsky, G, FLA
38. Jesper Bratt, F, NJD
39. Jason Robertson, F, DAL
40. Dylan Guenther, F, UTA
41. J.T. Miller, F, NYR
42. Rasmus Dahlin, D, BUF
43. Moritz Seider, D, DET
44. Brandon Hagel, F, TBL
45. Robert Thomas, F, STL
46. Cole Caufield, F, MTL
47. Tim Stützle, F, OTT
48. Adrian Kempe, F, LAK
49. Tom Wilson, F, WSH
50. Lucas Raymond, F, DET
51. Igor Shesterkin, G, NYR
52. Seth Jarvis, F, CAR
53. Lane Hutson, D, MTL
54. John Tavares, F, TOR
55. Mackenzie Blackwood, G, COL (INJ.)
56. Logan Thompson, G, WSH
57. Filip Gustavsson, G, MIN
58. Wyatt Johnston, F, DAL
59. Jake Sanderson, D, OTT
60. Alex DeBrincat, F, DET
61. Sebastian Aho, F, CAR
62. Nico Hischier, F, NJD
63. Dylan Larkin, F, DET
64. Sam Bennett, F, FLA
65. Roope Hintz, F, DAL
66. Connor Bedard, F, CHI
67. Matvei Michkov, F, PHI
68. Dylan Holloway, F, STL
69. Matthew Knies, F, TOR
70. Kirill Marchenko, F, CBJ
71. Tomas Hertl, F, VGK
72. Pavel Dorofeyev, F, VGK
73. Gabriel Vilardi, F, WPG
74. Thomas Harley, D, DAL
75. Darcy Kuemper, G, LAK
76. MacKenzie Weegar, D, CGY
77. Roman Josi, D, NSH
78. Nikolaj Ehlers, F, CAR
79. Adam Fox, D, NYR
80. Ilya Sorokin, G, NYI
81. Anthony Stolarz, G, TOR
82. Kevin Fiala, F, LAK
83. Adin Hill, G, VGK
84. Linus Ullmark, G, OTT
